epoch,loss,lr,val_best_iou,val_loss
0,0.25419649023853563,1e-04,0.8437299035369776,0.3636151711273807
1,0.248420454609671,1e-04,0.8382636655948554,0.32507150958013686
2,0.2466232794992002,1e-04,0.8491961414790997,0.3297126343012623
3,0.24342709050320657,1e-04,0.8524115755627011,0.3106071924569139
4,0.23637108171550025,1e-04,0.8533762057877813,0.3325192694495345
5,0.23865085794766877,1e-04,0.8479099678456591,0.326971415729768
6,0.23730128483881713,1e-04,0.8491961414790997,0.3344868984061422
7,0.24595471667769642,1e-04,0.8430868167202574,0.38325276352776594
8,0.2429122813536011,1e-04,0.8495176848874598,0.3319671764921912
9,0.24061279194864812,1e-04,0.845337620578778,0.34222632593855595
10,0.22994662265783594,6.9999995e-05,0.845337620578778,0.34376867206533623
11,0.22767644454176406,6.9999995e-05,0.8408360128617364,0.376555237547761
12,0.22687950415451788,6.9999995e-05,0.8405144694533762,0.3584092152080352
13,0.22220971555210048,6.9999995e-05,0.8491961414790997,0.32834131009517376
14,0.22963911540161952,6.9999995e-05,0.8517684887459808,0.3168893601158424
15,0.22401615569413358,4.8999995e-05,0.817363344051447,0.38753923452743766
16,0.2220347844900419,4.8999995e-05,0.842443729903537,0.35226726359493093
17,0.21976379905466337,4.8999995e-05,0.8469453376205787,0.3402364024970309
18,0.21916662880996013,4.8999995e-05,0.8511254019292606,0.36291172793823806
19,0.21960530792285574,4.8999995e-05,0.8475884244372991,0.36524960288472497
20,0.21646767027265312,3.4299996e-05,0.8533762057877815,0.37315080398723627
21,0.2197443976385267,3.4299996e-05,0.845337620578778,0.4011559447099925
22,0.21693478947989653,3.4299996e-05,0.8466237942122187,0.3306970547441501
23,0.21487881942203058,3.4299996e-05,0.8482315112540193,0.37171039402101586
