epoch,fill_requirement,loss,lr,val_best_iou,val_loss
0,True,0.581637375186319,1e-04,0.905625,0.4334601745009422
1,True,0.566190359255542,1e-04,0.9015625,0.45175362527370455
2,True,0.5386110378348309,1e-04,0.8846875000000001,0.4590674966573715
3,True,0.5338558445806089,1e-04,0.8787499999999999,0.5032528012990951
4,True,0.49478938780401066,1e-04,0.8871874999999999,0.4846233412623405
5,True,0.49123830808245617,1e-04,0.883125,0.452595916390419
6,True,0.46669975263269053,6.9999995e-05,0.8803124999999999,0.4843727096915245
7,True,0.46045865348499754,6.9999995e-05,0.8856249999999999,0.43818614929914473
8,True,0.4427072197522806,6.9999995e-05,0.875,0.4512168690562248
9,True,0.4497356351626956,6.9999995e-05,0.8840625,0.43948135823011397
10,True,0.42367534919277483,6.9999995e-05,0.8850000000000001,0.5202978104352951
11,True,0.41571215433271036,4.8999995e-05,0.8800000000000001,0.42485376000404357
12,True,0.4026868849668814,4.8999995e-05,0.8815625,0.41879461109638216
13,True,0.393758997483098,4.8999995e-05,0.8768750000000001,0.500877471268177
14,True,0.3835807109656541,4.8999995e-05,0.8715625000000001,0.4492821291089058
15,True,0.3827228014559849,4.8999995e-05,0.87625,0.4439064025878906
16,True,0.3677294937164887,3.4299996e-05,0.8787500000000001,0.4652520835399628
17,True,0.3624210427960624,3.4299996e-05,0.875625,0.4717364549636841
18,True,0.3672231935288595,3.4299996e-05,0.884375,0.440253359079361
19,True,0.3623184810837974,3.4299996e-05,0.87625,0.45529317259788515
20,True,0.36369905581940776,3.4299996e-05,0.8709374999999999,0.48185591399669647
